,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
271,Jared Fernandez,2006,35,MIL,-0.5,4,7,0.364,5.05,37,17,10,0,0,0,108.2,126,70,61,10,48,3,61,7,0,7,494
272,Ryan Vogelsong,2006,29,PIT,-0.8,10,22,0.313,5.86,120,33,41,0,0,0,315,347,217,205,36,154,14,216,29,1,17,1453
273,Travis Harper,2006,31,TBD,-0.9,22,29,0.431,4.94,240,14,61,1,1,2,411.2,451,248,226,61,136,24,271,26,1,17,1806
274,Kevin Jarvis,2006,37,BOS,-1.4,34,49,0.41,6.03,187,118,22,4,3,1,780.2,937,568,523,149,262,23,453,23,0,21,3492
275,Brandon Knight,2006,31,PIT,,0,0,,10.71,11,0,7,0,0,0,19.1,29,24,23,7,8,0,14,0,0,1,93
276,Shane Loux,2006,27,KCR,,1,4,0.2,7.71,14,7,1,0,0,0,44.1,56,40,38,8,15,1,15,5,0,2,204
277,Roger Clemens,2007,45,NYY,13.3,354,184,0.658,3.12,709,707,0,118,46,0,4916.2,4185,1885,1707,363,1580,63,4672,159,20,143,20240
278,Freddy Garcia,2007,31,PHI,7.2,117,76,0.606,4.07,263,262,0,12,4,0,1701.2,1658,814,770,203,548,30,1252,56,8,74,7216
279,Jeff Cirillo,2007,38,ARI,3.8,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,5
280,Akinori Otsuka,2007,36,TEX,3.7,13,15,0.464,2.44,236,0,96,0,0,39,232,190,71,63,12,80,15,217,2,0,4,951
281,David Wells,2007,45,LAD,3.7,239,157,0.604,4.13,660,489,65,54,12,13,3439,3635,1702,1578,407,719,65,2201,83,17,101,14413
282,Bob Wickman,2007,39,ARI,3.1,63,61,0.508,3.57,835,28,511,1,1,267,1059,1051,469,420,80,432,45,785,38,2,32,4586
283,Jae Weong Seo,2007,31,TBD,2.2,28,40,0.412,4.6,118,102,8,1,0,0,606.1,691,341,310,86,184,23,340,17,2,10,2639
284,Roberto Hernandez,2007,43,LAD,1.8,67,71,0.486,3.45,1010,3,667,0,0,326,1071.1,1002,475,411,96,462,53,945,35,1,50,4632
285,Bruce Chen,2007,31,TEX,1.7,35,37,0.486,4.63,242,112,39,2,0,0,807,808,459,415,154,314,22,642,19,2,16,3495
286,Rodrigo Lopez,2007,32,COL,1.3,65,65,0.5,4.8,187,161,5,5,2,0,1016.2,1113,577,542,144,315,21,674,28,5,19,4404
287,John Thomson,2007,34,KCR,0.7,63,85,0.426,4.68,216,212,2,10,3,0,1270.1,1398,734,661,154,369,26,800,28,3,23,5470
288,Rheal Cormier,2007,41,ATL,0.6,71,64,0.526,4.03,683,108,105,7,1,2,1221.2,1248,604,547,121,317,37,760,51,4,39,5157
289,Jerome Williams,2007,26,MIN,0.4,23,29,0.442,4.25,76,71,1,2,1,0,425.1,407,223,201,46,171,6,258,35,3,8,1837
290,Aaron Rakers,2007,31,SDP,0.3,1,0,1,3.32,14,0,3,0,0,0,19,17,7,7,3,4,0,14,0,0,0,78
291,Aaron Sele,2007,38,NYM,0.3,148,112,0.569,4.61,404,352,15,15,9,0,2153,2413,1208,1102,225,798,39,1407,112,2,54,9534
292,Marty McLeary,2007,33,PIT,0.2,2,0,1,5.28,12,2,3,0,0,0,29,33,19,17,7,10,1,17,0,0,1,127
293,Todd Williams,2007,37,COL,0.2,12,14,0.462,4.33,227,0,49,0,0,2,232.2,260,125,112,23,87,11,116,14,1,11,1033
294,Joe Kennedy,2007,29,TOR,0,43,61,0.413,4.79,222,139,24,7,2,2,908.2,1001,536,484,105,335,23,558,55,3,36,4015
295,Eric Milton,2007,32,CIN,0,87,84,0.509,5.01,266,265,0,10,4,0,1558.2,1635,923,868,265,447,14,1107,33,0,29,6718
296,Bret Prinz,2007,31,PIT,0,5,4,0.556,4.89,102,0,46,0,0,9,92,99,52,50,13,50,5,64,3,1,6,419
297,Mike Schultz,2007,28,ARI,0,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3
298,Lino Urdaneta,2007,28,NYM,0,0,0,,63,3,0,0,0,0,0,1,7,7,7,1,1,0,0,0,0,0,11
